Date,Home Plate Umpire,Comments
4/28/2019,John Kerwin,
4/27/2019,Bob Thomas,
4/26/2019,Brad Tittrington,
4/13/2019,Matt Leisure,
4/13/2019,Carlos Guzman,1_0
4/12/2019,Donald Pernell,
4/10/2019,Eddie Hall,
4/10/2019,Alex Leap,1_3
4/7/2019,Brad Tittrington,
4/6/2019,Joe Alfonse,
4/6/2019,Chris Tehonica,3_0
03/31/2019,Mark Thompson,
3/30/2019,Ted Broyles,
3/29/2019,Tim Kasate,
4/21/2019,Bob Thomas,
3/27/2019,Jeff Blanken,
3/24/2019,Ruben Gould,
3/23/2019,Brian Sonak,
3/23/2019,Jim Cooper,18_0
3/17/2019,Tim Kasate,
3/16/2019,Anthony Small,
3/15/2019,Alex Leap,
3/10/2019,Chris Nabors,
3/10/2019,Ed Clark,10_7
3/9/2019,Liz Hammerschmidt,
3/3/2019,Laura Nesteriak,
4/22/2018,Ed Clark,
4/21/2018,Jill Poole,
4/20/2018,Matt Dunbar,
4/11/2018,Jon Chambers,
3/31/2018,Robbie Guest,
3/31/2018,Aaron Jansen,4_5
